Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2021],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2019],
S&atilde;o Gabriel da Palha,3204708,gabrielense,TIAGO ROCHA,434.887,39085,73.26,96.5,0.709,12.77,88086.24917,74501.4559,16681.91,;;;;;;;;;;;;;;;;;;;;;;
S&atilde;o Jos&eacute; do Cal&ccedil;ado,3204807,cal&ccedil;adense,ANT&Ocirc;NIO COIMBRA DE ALMEIDA,273.489,10536,38.06,97.1,0.688,25.64,34844.72793,30261.33914,16329.19,;;;;;;;;;;;;;;;;;;
S&atilde;o Mateus,3204906,mateense,DANIEL SANTANA BARBOSA,2346.049,134629,46.62,97.3,0.735,14.08,270566.85318,253784.08666,18117.25,;;;;;;;;;;;;;;;;;;;;;;
S&atilde;o Roque do Cana&atilde;,3204955,s&atilde;o-roquense,MARCOS GERALDO GUERRA,341.944,12602,32.96,99.3,0.700,9.26,31966.25143,27047.43849,14346.18,;;;;;;;;;;;;;;;;;;;;
Serra,3205002,serrano,ANT&Ocirc;NIO SERGIO ALVES VIDIGAL,547.631,536765,741.85,96.9,0.739,11.63,1197645.84932,1108686.65758,49980.16,;;;;;;;;;;;;;;;;;;;;;;
Sooretama,3205010,sooretamense,ALESSANDRO BROEDEL TOREZANI,587.036,31278,40.66,95.1,0.662,17.78,71774.74363,56927.23892,17350.68,;;;;;;;;;;;;;;;;;;;;;;;
Vargem Alta,3205036,vargem-altense,ELIESER RABELLO,417.760,21778,46.25,98.3,0.663,20.24,65927.15224,51845.37074,14411.10,;;;;;;;;;;;;;;;;;;;;;;;
Venda Nova do Imigrante,3205069,venda-novense,JOAO PAULO SCHETTINO MINETI,185.909,26204,109.98,98.9,0.728,12.05,66372.19963,57779.8483,24073.15,;;;;;;;;;;;;;;;;;;;;;;;
Viana,3205101,vianense,WANDERSON BORGHARDT BUENO,312.279,80735,207.84,94.8,0.686,5.7,201219.76713,168215.81708,34372.62,;;;;;;;;;;;;;;;;;;;;;;;
Vila Pav&atilde;o,3205150,pavoense,UELIKSON BOONE,433.257,9280,20.02,97.3,0.681,9.71,29213.85171,23286.54907,12605.26,;;;;;;;;;;;;;;;;;;;;;;
Vila Val&eacute;rio,3205176,vila-valeriense,DAVID MOZDZEN PIRES RAMOS,470.343,14065,29.42,96.9,0.675,8.81,48688.53307,39097.37221,20648.95,;;;;;;;;;;;;;;;;;;;;;;
Vila Velha,3205200,vila-velhense,ARNALDO BORGO FILHO,210.225,508655,1973.59,96.8,0.800,11.49,943960.94788,799078.57685,26040.20,;;;;;;;;;;;;;;;;;;;;;;;
Vit&oacute;ria,3205309,capixaba,LORENZO SILVA DE PAZOLINI,97.123,369534,3338.30,97.6,0.845,8.63,1665698.98016,1508160.73573,59693.66,;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
"<table class=""fontes-container""><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil";&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><td>População estimada: Para 'dúvidas e contestações' acesse https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html?=&t=o-que-e</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2020. Rio de Janeiro: IBGE, 2021</td></tr><tr><td>População estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2020</td></tr><tr><td>Densidade demogr&aacute;fica: IBGE, Censo Demográfico 2010, Área territorial brasileira. Rio de Janeiro: IBGE, 2011</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2017</td></tr><tr><td>Receitas realizadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>Despesas empenhadas: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2017 e Despesas orçamentárias empenhadas (Anexo I-D) 2017. In: Brasil. Secretaria do Tesouro Nacional, Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2018]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: set. 2018</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>;;;;;;;;;;;;;;;;;
